iter	Passed	Remaining
0	148	7278
1	150	3611
2	152	2384
3	154	1771
4	155	1402
5	157	1157
6	159	980
7	161	846
8	162	742
9	163	655
10	165	587
11	167	529
12	168	480
13	170	438
14	172	402
15	174	370
16	176	342
17	178	316
18	180	293
19	181	272
20	183	253
21	185	235
22	186	219
23	188	204
24	190	190
25	192	177
26	193	165
27	195	153
28	197	142
29	198	132
30	200	122
31	202	113
32	204	105
33	205	96
34	207	88
35	208	81
36	210	73
37	211	66
38	213	60
39	215	53
40	216	47
41	218	41
42	220	35
43	221	30
44	223	24
45	224	19
46	226	14
47	228	9
48	229	4
49	231	0
